City,Sampled_Count,Sampled_Proportion
Lebanon,1771,0.00045832313255967906
Milford,1767,0.00045728795891188757
Paramount,1766,0.0004570291654999397
Duluth,1766,0.0004570291654999397
Danville,1766,0.0004570291654999397
San Pablo,1764,0.000456511578676044
Mission Viejo,1755,0.0004541824379685131
North Highlands,1750,0.00045288847090877376
Rock Hill,1741,0.00045055933020124293
Irmo,1741,0.00045055933020124293
Canton,1738,0.00044978294996539934
Bridgeport,1736,0.0004492653631415036
Sunol,1731,0.0004479713960817642
Hallandale,1730,0.00044771260266981635
Boynton Beach,1730,0.00044771260266981635
Oceanside,1725,0.000446418635610077
New Castle,1714,0.00044357190807865044
Apex,1712,0.0004430543212547547
Troy,1697,0.00043917242007553663
Covina,1689,0.00043710207277995364
Lombard,1681,0.0004350317254843707
Lake Elsinore,1681,0.0004350317254843707
Gilroy,1676,0.0004337377584246313
Brooksville,1674,0.0004332201716007356
Lakewood,1665,0.00043089103089320475
Leesburg,1656,0.0004285618901856739
Spring Hill,1652,0.0004275267165378824
Monticello,1647,0.0004262327494781431
Halethorpe,1646,0.0004259739560661952
Acton,1644,0.0004254563692422995
Arcadia,1642,0.00042493878241840375
Brewster,1636,0.0004233860219467165
Plant City,1635,0.0004231272285347686
Seneca,1632,0.000422350848298925
Downers Grove,1624,0.00042028050100334204
Santa Monica,1623,0.0004200217075913942
Brea,1610,0.00041665739323607187
Wesley Chapel,1609,0.00041639859982412397
Lakeland,1608,0.0004161398064121761
Meridian,1607,0.0004158810130002283
Saint Augustine,1601,0.00041432825252854104
Bell Gardens,1601,0.00041432825252854104
Santa Maria,1600,0.00041406945911659314
Lebec,1598,0.0004135518722926974
Hudson,1590,0.00041148152499711447
Highland Park,1587,0.0004107051447612708
Lake Forest,1586,0.000410446351349323
Sanford,1583,0.0004096699711134794
Johnson City,1580,0.00040889359087763574
Windsor,1579,0.0004086347974656879
Lutz,1579,0.0004086347974656879
Walterboro,1579,0.0004086347974656879
Hopkins,1577,0.00040811721064179214
Southfield,1575,0.0004075996238178964
Winston Salem,1573,0.00040708203699400065
Seal Beach,1566,0.00040527048311036557
Carrollton,1564,0.0004047528962864698
Fort Washington,1564,0.0004047528962864698
Rye,1563,0.0004044941028745219
Petersburg,1561,0.0004039765160506262
West Sacramento,1560,0.00040371772263867833
Allentown,1560,0.00040371772263867833
Milpitas,1558,0.0004032001358147826
Oroville,1556,0.00040268254899088684
Draper,1544,0.0003995770280475124
Monrovia,1543,0.0003993182346355645
Oxnard,1542,0.0003990594412236167
Mission Hills,1542,0.0003990594412236167
Carmichael,1541,0.00039880064781166877
Woodland Hills,1535,0.0003972478873399816
King of Prussia,1532,0.00039647150710413794
Huntington,1531,0.0003962127136921901
Castaic,1529,0.00039569512686829435
Laurel,1524,0.00039440115980855496
Merced,1518,0.0003928483993368678
Miami Gardens,1518,0.0003928483993368678
Davenport,1511,0.0003910368454532327
Upland,1510,0.0003907780520412848
Claremont,1504,0.00038922529156959756
Burton,1504,0.00038922529156959756
Camden,1503,0.0003889664981576497
Del Valle,1501,0.00038844891133375396
Dixon,1499,0.0003879313245098582
Ladson,1487,0.00038482580356648374
Lansdale,1486,0.0003845670101545359
Clifton,1481,0.00038327304309479656
Toledo,1480,0.00038301424968284866
Waterbury,1479,0.0003827554562709008
Hanover,1479,0.0003827554562709008
Woodside,1477,0.00038223786944700507
Sparks,1477,0.00038223786944700507
Linden,1472,0.00038094390238726573
New Haven,1471,0.00038068510897531783
Williamsburg,1468,0.00037990872873947424
Gurnee,1468,0.00037990872873947424
Dorchester,1466,0.0003793911419155785
Saint Cloud,1465,0.0003791323485036306
Hollister,1462,0.000378355968267787
Placerville,1461,0.00037809717485583915
East Hartford,1461,0.00037809717485583915
Norcross,1460,0.00037783838144389125
Chesterfield,1458,0.0003773207946199955
Klamath Falls,1457,0.00037706200120804766
Morgan Hill,1456,0.00037680320779609976
Venice,1455,0.0003765444143841519
Lake Zurich,1452,0.00037576803414830827
Garland,1450,0.0003752504473244126
Davis,1449,0.0003749916539124647
Delray Beach,1448,0.00037473286050051683
Grass Valley,1444,0.00037369768685272534
Reading,1443,0.00037343889344077744
Roanoke,1440,0.00037266251320493385
Suffolk,1439,0.00037240371979298595
Peoria,1434,0.0003711097527332466
Palmetto,1427,0.00036929819884961153
Winter Garden,1426,0.00036903940543766363
Sandy,1425,0.0003687806120257158
Vancouver,1423,0.00036826302520182004
Manteca,1421,0.0003677454383779243
Livingston,1421,0.0003677454383779243
Burnsville,1419,0.00036722785155402854
Bellflower,1406,0.0003638635371987062
White Plains,1405,0.0003636047437867584
San Lorenzo,1399,0.00036205198331507114
Bedford,1397,0.0003615343964911754
Richardson,1395,0.00036101680966727965
Holly Springs,1394,0.0003607580162553318
Walnut,1393,0.0003604992228433839
Georgetown,1391,0.00035998163601948816
Marion,1388,0.00035920525578364456
Hagerstown,1381,0.0003573937019000095
Meriden,1378,0.00035661732166416583
Camarillo,1376,0.00035609973484027014
Overland Park,1374,0.0003555821480163744
Quincy,1367,0.00035377059413273926
Rancho Cordova,1366,0.0003535118007207914
Hermitage,1365,0.0003532530073088435
La Grande,1364,0.00035299421389689567
San Clemente,1358,0.00035144145342520843
Waukegan,1357,0.0003511826600132606
Littleton,1354,0.00035040627977741694
Macon,1354,0.00035040627977741694
Plymouth,1353,0.0003501474863654691
Johnstown,1352,0.00034988869295352125
Rockville,1347,0.00034859472589378185
Wichita Falls,1345,0.0003480771390698861
Rosedale,1340,0.00034678317201014677
Manchester,1339,0.0003465243785981989
Woodland,1339,0.0003465243785981989
Schenectady,1338,0.000346265585186251
Wake Forest,1337,0.0003460067917743032
San Juan Capistrano,1335,0.00034548920495040743
South El Monte,1334,0.00034523041153845953
Dover,1333,0.0003449716181265117
Valencia,1333,0.0003449716181265117
Liberty,1328,0.00034367765106677235
Park City,1324,0.00034264247741898086
Libertyville,1322,0.0003421248905950851
Alamo,1321,0.0003418660971831372
Kent,1318,0.0003410897169472936
Shawnee,1316,0.0003405721301233979
Plano,1314,0.00034005454329950213
Ambler,1314,0.00034005454329950213
Jurupa Valley,1307,0.00033824298941586704
Greenwich,1304,0.00033746660918002345
Apopka,1299,0.00033617264212028406
Irvington,1298,0.0003359138487083362
Inman,1298,0.0003359138487083362
Lansing,1294,0.0003348786750605447
Clearfield,1293,0.0003346198816485968
Lenexa,1292,0.000334361088236649
Oak Brook,1291,0.00033410229482470113
South Gate,1289,0.0003335847080008054
Sonoma,1288,0.0003333259145888575
Selma,1287,0.00033306712117690964
Plymouth Meeting,1282,0.00033177315411717025
Phelan,1281,0.0003315143607052224
Savannah,1281,0.0003315143607052224
Bellmawr,1279,0.00033099677388132666
Webster,1277,0.0003304791870574309
Edison,1277,0.0003304791870574309
Boise,1276,0.00033022039364548306
Fountain Valley,1273,0.0003294440134096394
Novato,1272,0.00032918521999769157
Lincoln,1270,0.0003286676331737958
Newport,1268,0.0003281500463499001
Denton,1265,0.0003273736661140565
Davison,1263,0.00032685607929016074
Orange Park,1259,0.00032582090564236925
Spring,1258,0.00032556211223042135
Hillside,1257,0.0003253033188184735
Burlington,1255,0.00032478573199457776
Wheaton,1253,0.000324268145170682
Montclair,1249,0.0003232329715228905
Annapolis,1244,0.0003219390044631512
Westport,1243,0.00032168021105120334
Ashburn,1243,0.00032168021105120334
Santa Clara,1242,0.00032142141763925544
Granada Hills,1240,0.0003209038308153597
Bozeman,1238,0.00032038624399146395
Warren,1238,0.00032038624399146395
Turlock,1238,0.00032038624399146395
Lynnwood,1223,0.0003165043428122459
Tulare,1214,0.00031417520210471505
Grants Pass,1211,0.00031339882186887146
Encinitas,1211,0.00031339882186887146
Humble,1211,0.00031339882186887146
Golden,1209,0.0003128812350449757
Monroe,1207,0.00031236364822107997
Cocoa,1206,0.0003121048548091321
North Hills,1194,0.00030899933386575765
Oakland Gardens,1194,0.00030899933386575765
Rosemead,1191,0.00030822295362991405
Hammond,1185,0.0003066701931582268
Clio,1183,0.00030615260633433107
Vienna,1183,0.00030615260633433107
Barrington,1181,0.0003056350195104353
Forest Park,1178,0.00030485863927459173
Lehi,1172,0.0003033058788029045
Victorville,1165,0.0003014943249192694
Franklin,1165,0.0003014943249192694
Annandale,1162,0.00030071794468342577
Kearny,1158,0.0002996827710356343
Smyrna,1157,0.00029942397762368643
Willow Grove,1157,0.00029942397762368643
Darien,1154,0.00029864759738784284
Elizabeth,1152,0.0002981300105639471
Cupertino,1150,0.00029761242374005134
La Grange,1148,0.0002970948369161556
Daly City,1145,0.000296318456680312
Redmond,1142,0.00029554207644446836
Avondale,1140,0.0002950244896205726
Pikesville,1140,0.0002950244896205726
Chantilly,1134,0.0002934717291488854
Chula Vista,1131,0.0002926953489130418
Estero,1128,0.0002919189686771982
Brighton,1127,0.0002916601752652503
Astoria,1127,0.0002916601752652503
Panama City,1127,0.0002916601752652503
Huntingdon Valley,1123,0.0002906250016174588
Mount Vernon,1123,0.0002906250016174588
South San Francisco,1120,0.0002898486213816152
Deerfield Beach,1115,0.00028855465432187587
North Chesterfield,1114,0.00028829586090992797
Pinellas Park,1113,0.0002880370674979801
Monterey Park,1113,0.0002880370674979801
Edmond,1111,0.0002875194806740844
Latham,1109,0.00028700189385018863
Palm Beach Gardens,1108,0.0002867431004382408
Portsmouth,1106,0.00028622551361434504
Santa Clarita,1106,0.00028622551361434504
Hattiesburg,1102,0.00028519033996655355
Lewisville,1102,0.00028519033996655355
Lathrop,1101,0.00028493154655460565
Grayslake,1100,0.0002846727531426578
Heber City,1099,0.0002844139597307099
Zebulon,1085,0.00028079085196343974
Saint Charles,1082,0.00028001447172759615
Moncks Corner,1079,0.0002792380914917525
Osseo,1070,0.00027690895078422167
Calabasas,1070,0.00027690895078422167
East Orange,1068,0.0002763913639603259
North Wales,1068,0.0002763913639603259
Canyon Country,1068,0.0002763913639603259
Bala Cynwyd,1065,0.00027561498372448233
Altoona,1063,0.0002750973969005866
Stockbridge,1063,0.0002750973969005866
Maspeth,1062,0.0002748386034886387
Northport,1059,0.0002740622232527951
Beaufort,1056,0.0002732858430169515
Stamford,1055,0.0002730270496050036
Cutler Bay,1052,0.00027225066936916
Bethlehem,1050,0.00027173308254526427
Redding,1044,0.00027018032207357703
North Augusta,1039,0.0002688863550138377
Land O Lakes,1036,0.00026810997477799404
Montebello,1035,0.0002678511813660462
Altamonte Springs,1033,0.00026733359454215045
Carmel,1032,0.0002670748011302026
Williamsport,1031,0.0002668160077182547
Gary,1031,0.0002668160077182547
Seaside,1030,0.00026655721430630686
Maple Grove,1030,0.00026655721430630686
West Chicago,1027,0.0002657808340704632
Upper Marlboro,1023,0.0002647456604226718
Miami Beach,1022,0.0002644868670107239
Madison Heights,1020,0.00026396928018682813
Collegeville,1017,0.00026319289995098454
Utica,1017,0.00026319289995098454
Ann Arbor,1015,0.0002626753131270888
Yukon,1015,0.0002626753131270888
Warrenton,1012,0.00026189893289124515
Roseburg,1011,0.0002616401394792973
Clermont,1007,0.0002606049658315058
Forest Lake,1004,0.0002598285855956622
Willowbrook,1003,0.0002595697921837143
Jefferson,1000,0.0002587934119478707
Clifton Park,999,0.0002585346185359229
Las Vegas,996,0.00025775823830007924
New Rochelle,995,0.0002574994448881314
Lugoff,994,0.0002572406514761835
Buckeye,993,0.00025698185806423564
Pleasant Hill,992,0.00025672306465228774
Eden Prairie,991,0.0002564642712403399
Belmont,991,0.0002564642712403399
Darlington,988,0.00025568789100449625
Fayetteville,988,0.00025568789100449625
Hanover Park,985,0.00025491151076865266
Olympia,984,0.0002546527173567048
Goleta,984,0.0002546527173567048
Cherry Hill,984,0.0002546527173567048
Carol Stream,984,0.0002546527173567048
Galt,981,0.00025387633712086117
Dillon,979,0.0002533587502969654
Aptos,979,0.0002533587502969654
Pueblo,979,0.0002533587502969654
Woodbury,977,0.0002528411634730697
Hanford,976,0.00025258237006112183
Miamisburg,974,0.0002520647832372261
Huntington Park,973,0.00025180598982527824
Port Allen,972,0.00025154719641333034
Royal Oak,972,0.00025154719641333034
Dumfries,970,0.0002510296095894346
San Bruno,968,0.00025051202276553885
Menlo Park,966,0.0002499944359416431
Fenton,965,0.00024973564252969525
Chico,965,0.00024973564252969525
Orinda,965,0.00024973564252969525
Elmsford,961,0.00024870046888190376
Mundelein,961,0.00024870046888190376
Nanuet,959,0.000248182882058008
Ephrata,955,0.0002471477084102165
Midvale,953,0.0002466301215863208
Federal Way,952,0.00024637132817437293
Andover,951,0.00024611253476242503
Bothell,950,0.0002458537413504772
Newberry,949,0.00024559494793852934
Gaston,945,0.00024455977429073785
Murrells Inlet,945,0.00024455977429073785
Gaithersburg,945,0.00024455977429073785
Glen Burnie,943,0.0002440421874668421
Staunton,943,0.0002440421874668421
Rialto,942,0.00024378339405489423
Duarte,940,0.00024326580723099849
Carlisle,939,0.0002430070138190506
Chapin,938,0.00024274822040710274
Belton,937,0.00024248942699515487
Castle Rock,935,0.00024197184017125912
Lutherville Timonium,930,0.00024067787311151978
Des Plaines,927,0.00023990149287567616
Malibu,926,0.0002396426994637283
Villa Park,926,0.0002396426994637283
Clarkston,924,0.00023912511263983255
Manheim,923,0.00023886631922788467
Sausalito,923,0.00023886631922788467
Cowpens,922,0.0002386075258159368
Truckee,919,0.0002378311455800932
Doral,919,0.0002378311455800932
Lisle,917,0.00023731355875619746
Blythewood,912,0.0002360195916964581
Glen Ellyn,909,0.00023524321146061448
Mount Laurel,909,0.00023524321146061448
Antelope,908,0.0002349844180486666
Olathe,906,0.0002344668312247709
Nyack,905,0.000234208037812823
Wayne,903,0.00023369045098892727
Easton,903,0.00023369045098892727
Gilbert,903,0.00023369045098892727
Rogers,902,0.0002334316575769794
Zachary,902,0.0002334316575769794
Downingtown,902,0.0002334316575769794
Goodyear,902,0.0002334316575769794
Abington,901,0.00023317286416503152
The Dalles,901,0.00023317286416503152
Lawndale,900,0.00023291407075308365
Flagstaff,900,0.00023291407075308365
Provo,899,0.00023265527734113578
Fort Walton Beach,898,0.0002323964839291879
Goodlettsville,898,0.0002323964839291879
Ooltewah,898,0.0002323964839291879
Princeton,896,0.00023187889710529216
Menifee,890,0.00023032613663360495
San Luis Obispo,889,0.00023006734322165707
Warrenville,889,0.00023006734322165707
Daytona Beach,886,0.00022929096298581345
Ridgeland,885,0.00022903216957386558
Woodridge,885,0.00022903216957386558
Oxford,884,0.0002287733761619177
Athens,883,0.00022851458274996986
Clanton,883,0.00022851458274996986
Wildwood,883,0.00022851458274996986
Fort Pierce,881,0.00022799699592607412
St Petersburg,880,0.00022773820251412624
Royersford,879,0.00022747940910217837
Somerset,879,0.00022747940910217837
Malvern,878,0.0002272206156902305
Surprise,878,0.0002272206156902305
Seminole,878,0.0002272206156902305
South Jordan,878,0.0002272206156902305
Cambridge,878,0.0002272206156902305
Lowell,877,0.00022696182227828263
Atwater,877,0.00022696182227828263
Warwick,876,0.00022670302886633475
Forest Hills,875,0.00022644423545438688
Broomfield,870,0.00022515026839464754
